Section,Figure,Figure Item,Part Number,Type,Specifics
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",,66A21765,MAGNETO, V S4LC-21
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",6,STD-1727,WASHER," Plain, 11/32 I.D. x 3/4 O.D."
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",7,STD-475,WASHER," 5/16 lock, internal teeth"
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",8,STD-1410,NUT, 5/16-18 plain
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",9,LW-M-2403,HARNESS ASSEMBLY, Left magneto
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",,LW-M-2404,HARNESS ASSEMBLY, Right magneto
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",10,LW-M-2375,PLATE, Spark plug cable
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",11,LW-14060,CLIP, Two wire
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",12,STD-8,WASHER, 1/4 plain
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",13,STD-160,WASHER," 1/4 lock, internal teeth"
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",14,STD-1916,SCREW," 1/4-20 x 1-1/8 long, fill. head"
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",15,LW-25-1.25,BOLT," 1/4-20 x 1-1/4 long, hex. head"
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",16,STD-1411,NUT, 1/4-20 plain
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",17,LW-18959-150-25,CLAMP, 1-1/2 I.D.
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",18,STD-553,SCREW," No. 6-32 x 1/2 long, round head"
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",19,MS21044N06,NUT, No. 6-32 self-locking
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",20,76734,ZIP STRAP,
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",21,1182-E7,SPARK PLUG, Champion V REM38E
Power Section,"Crankshaft Idler Gears, Tachometer Drive And Camshaft",1,61544,PLUNGER," Fuel pump, long"
Power Section,"Crankshaft Idler Gears, Tachometer Drive And Camshaft",2,74996,GEAR ASSEMBLY," Crankshaft idler, plain"
Power Section,"Crankshaft Idler Gears, Tachometer Drive And Camshaft",3,77309,BUSHING, Crankshaft idler gear
Power Section,"Crankshaft Idler Gears, Tachometer Drive And Camshaft",4,75072,GEAR ASSEMBLY, Crankshaft idler
Power Section,"Crankshaft Idler Gears, Tachometer Drive And Camshaft",5,77309,BUSHING, Crankshaft idler gear
Power Section,"Crankshaft Idler Gears, Tachometer Drive And Camshaft",6,76121,SHAFT ASSEMBLY, Tachometer
Power Section,"Crankshaft Idler Gears, Tachometer Drive And Camshaft",7,LW-18667,PIN, 3/16 diameter x 2-11/32 long
Power Section,"Crankshaft Idler Gears, Tachometer Drive And Camshaft",8,STD-2231,RING, Internal retaining (13/16)
Power Section,"Crankshaft Idler Gears, Tachometer Drive And Camshaft",9,LW-13796,SHAFT, Crankshaft idler gear
Power Section,"Crankshaft Idler Gears, Tachometer Drive And Camshaft",10,LW-31H0.88,BOLT," 5/16-18 x 7/8 long, hex. head, drilled"
Power Section,"Crankshaft Idler Gears, Tachometer Drive And Camshaft",11,STD-2168,NUT, 5/16-18 NC-3 slotted shear
Power Section,"Crankshaft Idler Gears, Tachometer Drive And Camshaft",12,LW-18840,CAMSHAFT ASSEMBLY,
Power Section,"Crankshaft Idler Gears, Tachometer Drive And Camshaft",,15M23452,CAMSHAFT ASSEMBLY (Roller tappet engines),
Power Section,Crankcase Assembly,1,11B20061-1SB-S,CRANKCASE ASSEMBLY KIT,
Power Section,Crankcase Assembly,,11B20061-1SB,CRANKCASE ASSEMBLY,
Power Section,Crankcase Assembly,,11B20161-3SL-S,CRANKCASE ASSEMBLY KIT (Roller tappet engines),
Power Section,Crankcase Assembly,,11B20161-3SL,CRANKCASE ASSEMBLY (Roller tappet engines),
Power Section,Crankcase Assembly,2,75154,STUD, 1/2-13 x 10-1/32 long
Power Section,Crankcase Assembly,3,50-15,STUD, 1/2-13 x 1-7/8 long
Power Section,Crankcase Assembly,4,38-13,STUD, 3/8-16 x 1-5/8 long
Power Section,Crankcase Assembly,5,38D-17,STUD," 3/8-16 x 2-1/8 long, drilled"
Power Section,Crankcase Assembly,6,LW-13793,STUD," 5/16-18 x 15/16 long, drilled"
Power Section,Crankcase Assembly,7,31C-12,STUD, 5/16-18 x 1-1/2 long
Power Section,Crankcase Assembly,8,31C-13,STUD, 5/16-18 x 1-5/8 long
Power Section,Crankcase Assembly,9,STD-557,DOWEL," 1/2 dia. x 19/32 long, hollow"
Power Section,Crankcase Assembly,10,STD-514,DOWEL, 5/16 dia. x 1/2 long
Power Section,Crankcase Assembly,11,STD-1623,INSERT, 1/4-20 UNC x 3/8 long
Power Section,Crankcase Assembly,12,1102,PLUG," 1/8-27 NPT, allen head"
Power Section,Crankcase Assembly,13,STD-1339,PLUG," 1/16-27 NPT, allen head"
Power Section,Crankcase Attaching Parts,1,LW-25-1.50,BOLT," 1/4-20 x 1-1/2 long, hex. head"
Power Section,Crankcase Attaching Parts,2,STD-8,WASHER, 1/4 plain
Power Section,Crankcase Attaching Parts,3,60803,STRAP, Lifting
Power Section,Crankcase Attaching Parts,4,LW-25-1.75,BOLT," 1/4-20 x 1-3/4 long, hex. head"
Power Section,Crankcase Attaching Parts,5,LW-25-1.13,BOLT," 1/4-20 x 1-1/8 long, hex. head"
Power Section,Crankcase Attaching Parts,6,STD-160,WASHER," 1/4 lock, internal teeth"
Power Section,Crankcase Attaching Parts,7,STD-1411,NUT, 1/4-20 plain
Power Section,Crankcase Attaching Parts,8,LW-25S1.50,BOLT," 1/4-20 x 1-1/2 long, drilled end"
Power Section,Crankcase Attaching Parts,9,STD-8,WASHER, 1/4 plain
Power Section,Crankcase Attaching Parts,10,STD-2249,NUT, 1/4-20 slotted
Power Section,Crankcase Attaching Parts,11,STD-33,WASHER, 3/8 plain
Power Section,Crankcase Attaching Parts,12,AN960-616L,WASHER, 3/8 plain (thin)
Power Section,Crankcase Attaching Parts,13,STD-872,NUT, 3/8-24 slotted
Power Section,Crankcase Attaching Parts,14,AN6-34A,BOLT," 3/8-24 x 3-19/32 long, hex. head"
Power Section,Crankcase Attaching Parts,15,STD-33,WASHER, 3/8 plain
Power Section,Crankcase Attaching Parts,16,STD-678,WASHER," 3/8 lock, internal teeth"
Power Section,Crankcase Attaching Parts,17,STD-596,NUT, 3/8-24 plain
Power Section,Crankcase Attaching Parts,,LW-11866,SPACER, Nut compressor
Power Section,Crankcase Attaching Parts,18,76220,STUD, 1/2-20 x 10-11/16 long
Power Section,Crankcase Related Parts,1,1028-B,BALL, 11/16 diameter
Power Section,Crankcase Related Parts,2,61084,SPRING, Oil pressure relief valve
Power Section,Crankcase Related Parts,,68668,SPRING, Oil pressure relief valve
Power Section,Crankcase Related Parts,,77467,SPRING, Oil pressure relief valve
Power Section,Crankcase Related Parts,,LW-11713,SPRING, Oil pressure relief valve
Power Section,Crankcase Related Parts,,LW-18085,SPRING, Oil pressure relief valve
Power Section,Crankcase Related Parts,3,06E19769-1.25,GASKET," 1-1/4 I.D., annular"
Power Section,Crankcase Related Parts,4,77808,VALVE ASSEMBLY, Oil pressure relief
Power Section,Crankcase Related Parts,5,18D26098,BEARING, Crankshaft
Power Section,Crankcase Related Parts,6,LW-13792,SEAL, Crankshaft oil
Power Section,Crankcase Related Parts,7,72075,SEAL," Oil, 3/32 section x 15/32 I.D."
Power Section,Crankcase Related Parts,8,72091,RING," Oil seal, 23/64 I.D. x 7/64 diameter"
Power Section,Crankcase Related Parts,9,15B26064,BODY, Hydraulic tappet
Power Section,Crankcase Related Parts,10,LRT23381,BODY ASSEMBLY, Hydraulic tappet (Roller tappet engines)
Power Section,Crankshaft Assembly And Related Parts,1,13B47020,CRANKSHAFT ASSEMBLY,
Power Section,Crankshaft Assembly And Related Parts,,13B47024,CRANKSHAFT ASSEMBLY,
Power Section,Crankshaft Assembly And Related Parts,2,STD-1065,DOWEL," Stepped, 5/16-14 diameter"
Power Section,Crankshaft Assembly And Related Parts,3,STD-1211,PLUG, 2.00 diameter expansion
Power Section,Crankshaft Assembly And Related Parts,4,LW-18921-S,BUSHING," Propeller flange, long"
Power Section,Crankshaft Assembly And Related Parts,,LW-18817-S,BUSHING," Propeller flange, long"
Power Section,Crankshaft Assembly And Related Parts,5,LW-18922-S,BUSHING," Propeller flange, short"
Power Section,Crankshaft Assembly And Related Parts,,LW-18815-S,BUSHING," Propeller flange, short"
Power Section,Crankshaft Assembly And Related Parts,6,13S19646,GEAR, Crankshaft
Power Section,Crankshaft Assembly And Related Parts,7,LW-18639,LOCKPLATE, Crankshaft gear
Power Section,Crankshaft Assembly And Related Parts,8,STD-2246,BOLT, 5/16-24 x 1.00 long
Power Section,Crankshaft Assembly And Related Parts,9,76628,SUPPORT ASSEMBLY, Starter ring gear
Power Section,Crankshaft Assembly And Related Parts,,76944,SUPPORT ASSEMBLY, Starter ring gear
Power Section,Crankshaft Assembly And Related Parts,10,72566,GEAR," Starter ring, 12/14 pitch"
Power Section,Crankshaft Assembly And Related Parts,,60882,GEAR," Starter ring, 10/12 pitch"
Fuel Distribution System,Carburetor Assembly,1,66224,GASKET, Carburetor
Fuel Distribution System,Carburetor Assembly,2,61B26214,CARBURETOR, MA-4SPA V AV 10-5217
Fuel Distribution System,Carburetor Assembly,,61B26213,CARBURETOR, MA-4SPA V AV 10-5009
Fuel Distribution System,Carburetor Assembly,3,STD-35,WASHER, 5/16 plain
Fuel Distribution System,Carburetor Assembly,4,STD-475,WASHER," 5/16 lock, internal teeth"
Fuel Distribution System,Carburetor Assembly,5,STD-1410,NUT, 5/16-18 plain
Cylinder Section,Cylinder Related Parts,1,15F19957-08,ROD ASSEMBLY, Push (A total of 8 required)
Cylinder Section,Cylinder Related Parts,,15F19957-09,ROD ASSEMBLY, Push (A total of 8 required)
Cylinder Section,Cylinder Related Parts,,15F19957-10,ROD ASSEMBLY, Push (A total of 8 required)
Cylinder Section,Cylinder Related Parts,,15F19957-11,ROD ASSEMBLY, Push (A total of 8 required)
Cylinder Section,Cylinder Related Parts,,15F19957-12,ROD ASSEMBLY, Push (A total of 8 required)
Cylinder Section,Cylinder Related Parts,,15F19957-13,ROD ASSEMBLY, Push (A total of 8 required)
Cylinder Section,Cylinder Related Parts,,15F19957-14,ROD ASSEMBLY, Push (A total of 8 required)
Cylinder Section,Cylinder Related Parts,,15F19957-15,ROD ASSEMBLY, Push (A total of 8 required)
Cylinder Section,Cylinder Related Parts,2,17F19357,ROCKER ASSEMBLY, Valve
Cylinder Section,Cylinder Related Parts,3,74637,BUSHING, Valve rocker
Cylinder Section,Cylinder Related Parts,4,LW-13790,SHAFT, Valve rocker
Cylinder Section,Cylinder Related Parts,5,LW-12892,THRUST BUTTON, Rocker shaft
Cylinder Section,Cylinder Related Parts,6,75906,GASKET, Rocker box cover
Cylinder Section,Cylinder Related Parts,7,61247,COVER, Rocker box
Cylinder Section,Cylinder Related Parts,8,STD-1925,SCREW," 1/4-20 x 5/8 long, pan. head"
Cylinder Section,Cylinder Related Parts,9,71481,RING," Oil seal, 3/32 diameter x 4-27/32 I.D."
Cylinder Section,Cylinder Related Parts,10,74887,SPACER, 33/64 I.D. x 7/8 O.D. x 3/8 thick
Cylinder Section,Cylinder Related Parts,11,383-B,NUT, 3/8-24 plain
Cylinder Section,Cylinder Related Parts,12,STD-2090,NUT, 1/2-20 plain
Cylinder Section,"Connecting Rods, Pistons And Ring Assemblies",1,78030-S,CONNECTING ROD ASSEMBLY,
Cylinder Section,"Connecting Rods, Pistons And Ring Assemblies",2,LW-13923,BUSHING," Connecting rod, upper"
Cylinder Section,"Connecting Rods, Pistons And Ring Assemblies",3,78027,BOLT, Connecting rod
Cylinder Section,"Connecting Rods, Pistons And Ring Assemblies",4,LW-12186,NUT, Connecting rod bolt
Cylinder Section,"Connecting Rods, Pistons And Ring Assemblies",5,18M26104,BEARING, Connecting rod
Cylinder Section,"Connecting Rods, Pistons And Ring Assemblies",6,14D23915,PISTON, 7.00:1 compression ratio
Cylinder Section,"Connecting Rods, Pistons And Ring Assemblies",7,LW-14078,PIN, Piston
Cylinder Section,"Connecting Rods, Pistons And Ring Assemblies",8,72198,PLUG, Piston pin
Cylinder Section,"Connecting Rods, Pistons And Ring Assemblies",9,74241,RING, Piston compression
Cylinder Section,Valve Assembly And Related Parts,1,17A23938,VALVE, Intake
Cylinder Section,Valve Assembly And Related Parts,2,17B23936,VALVE, Exhaust (rotator type)
Cylinder Section,Valve Assembly And Related Parts,3,LW-11795,SPRING," Valve, inner"
Cylinder Section,Valve Assembly And Related Parts,4,LW-11800,SPRING," Valve, outer"
Cylinder Section,Valve Assembly And Related Parts,5,65441,SEAT," Valve spring, lower intake"
Cylinder Section,Valve Assembly And Related Parts,6,LW-13323,SEAT," Valve, spring, lower exhaust"
Cylinder Section,Valve Assembly And Related Parts,7,LW-10077,SEAT," Valve spring, upper intake"
Cylinder Section,Valve Assembly And Related Parts,8,LW-16475,SEAT," Valve spring, upper exhaust (rotator type)"
Cylinder Section,Valve Assembly And Related Parts,9,60009,KEY," Valve, intake"
Cylinder Section,Valve Assembly And Related Parts,10,17C21191,KEY," Valve, exhaust (rotator type)"
Cylinder Section,Valve Assembly And Related Parts,11,17C19386,CAP," Valve stem, exhaust (rotator type)"
Cylinder Section,Valve Assembly And Related Parts,12,15B26066,PLUNGER ASSEMBLY, Hydraulic lifter
Cylinder Section,Valve Assembly And Related Parts,13,15B21319,SOCKET, Hydraulic tappet
Cylinder Section,Valve Assembly And Related Parts,14,68987,SHROUD TUBE ASSEMBLY, Push rod
Cylinder Section,Valve Assembly And Related Parts,,15G23494,SHROUD TUBE ASSEMBLY, Push rod (Roller tappet engines)
Cylinder Section,Valve Assembly And Related Parts,15,LW-14995,SPRING, Shroud tube
Cylinder Section,Valve Assembly And Related Parts,16,LW-12272,LOCKPLATE, Shroud tube
Cylinder Section,Valve Assembly And Related Parts,17,STD-1411,NUT, 1/4-20 plain
Cylinder Section,Valve Assembly And Related Parts,18,01L23459,WASHER, 25/32 I.D. x 3/8 O.D. x 1/32 thick (Roller tappet engines)
Cylinder Section,Valve Assembly And Related Parts,19,LW-18661,SEAL, Shroud tube
Cylinder Section,Valve Assembly And Related Parts,20,06A23493,SEAL, Shroud tube (Roller tappet engines)
Cylinder Section,Valve Assembly And Related Parts,21,70310,SEAL, Shroud tube
Cylinder Section,Intake Pipes And Attaching Parts,1,74084,PIPE, Intake
Cylinder Section,Intake Pipes And Attaching Parts,2,69603,HOSE, 1-3/4 I.D. x 2-3/16 O.D. x 1-3/4 long
Cylinder Section,Intake Pipes And Attaching Parts,3,LW-15592-8-28,CLAMP, Hose
Cylinder Section,Intake Pipes And Attaching Parts,4,71973,GASKET," 2 bolt flange, 1-13/16 I.D."
Cylinder Section,Intake Pipes And Attaching Parts,5,73346,FLANGE," Intake pipe, upper"
Cylinder Section,Intake Pipes And Attaching Parts,6,STD-8,WASHER, 1/4 plain
Cylinder Section,Intake Pipes And Attaching Parts,7,STD-160,WASHER," 1/4 lock, internal teeth"
Cylinder Section,Cylinder Head Drain Tubes And Intercylinder Cooling Baffles,1,STD-684,NIPPLE," Straight, 3/8 I.D. hose"
Cylinder Section,Cylinder Head Drain Tubes And Intercylinder Cooling Baffles,2,STD-2180,HOSE, 3/8 I.D. x 1-7/8 long
Cylinder Section,Cylinder Head Drain Tubes And Intercylinder Cooling Baffles,3,LW-15592-5-05,CLAMP, Hose
Cylinder Section,Cylinder Head Drain Tubes And Intercylinder Cooling Baffles,4,68759,TUBE ASSEMBLY," Oil drain, cylinder no. 1"
Cylinder Section,Cylinder Head Drain Tubes And Intercylinder Cooling Baffles,5,68760,TUBE ASSEMBLY," Oil drain, cylinder no. 2"
Cylinder Section,Cylinder Head Drain Tubes And Intercylinder Cooling Baffles,6,68761,TUBE ASSEMBLY," Oil drain, cylinders no. 3 & 4"
Cylinder Section,Cylinder Head Drain Tubes And Intercylinder Cooling Baffles,7,72569,BAFFLE ASSEMBLY, Intercylinder
Cylinder Section,Cylinder Head Drain Tubes And Intercylinder Cooling Baffles,8,71611,RETAINER, Intercylinder baffle
Cylinder Section,Cylinder Assembly,1,LW-12416,CYLINDER ASSEMBLY, Nitrided
Cylinder Section,Cylinder Assembly,2,72057,SEAT, Intake valve
Cylinder Section,Cylinder Assembly,3,72058,SEAT, Exhaust valve
Cylinder Section,Cylinder Assembly,4,76943,GUIDE," Valve, intake"
Cylinder Section,Cylinder Assembly,5,16R22126,GUIDE," Valve, exhaust"
Cylinder Section,Cylinder Assembly,6,66796,INSERT," Spark plug, 18-1.5 MM"
Cylinder Section,Cylinder Assembly,7,STD-1353,INSERT, No. 10-24 UNC x 3/8 long
Cylinder Section,Cylinder Assembly,8,31C-12,STUD, 5/16-18 x 1-1/2 long
Cylinder Section,Cylinder Assembly,9,25C-8,STUD, 1/4-20 x 1.00 long
Cylinder Section,Cylinder Assembly,10,MS20823-6D,ELBOW," 45o, 3/8 flared tube"
Cylinder Section,Cylinder Assembly,11,66610,BUSHING, Rocker shaft
Cylinder Section,Cylinder Assembly,12,1102,PLUG," 1/8-27 NPT, allen head"
Cylinder Section,Cylinder Assembly,13,77611,GASKET, Exhaust flange
Cylinder Section,Cylinder Assembly,14,STD-35,WASHER, 5/16 plain
Cylinder Section,Cylinder Assembly,15,STD-475,WASHER," 5/16 lock, internal teeth"
Cylinder Section,Cylinder Assembly,16,STD-1410,NUT, 5/16-18 plain
Cranking Section,Starter Motor And Attaching Parts,1,31A26041,STARTER ASSEMBLY," 12V., Kelly V ERZ-8011"
Cranking Section,Starter Motor And Attaching Parts,,31A26043,STARTER ASSEMBLY," 12V., Kelly V ERZ-8012"
Cranking Section,Starter Motor And Attaching Parts,2,STD-35,WASHER, 5/16 plain
Cranking Section,Starter Motor And Attaching Parts,3,STD-475,WASHER," 5/16 lock, internal teeth"
Cranking Section,Starter Motor And Attaching Parts,4,LW-31-1.16,BOLT," 5/16-18 x 1-5/32 long, hex. head"
Cranking Section,Starter Motor And Attaching Parts,5,STD-1410,NUT, 5/16-18 plain
Electrical Power,Alternator Mounting And Attaching Parts,1,07A21443,BRACKET, Alternator
Electrical Power,Alternator Mounting And Attaching Parts,,07A19474,BRACKET, Alternator
Electrical Power,Alternator Mounting And Attaching Parts,2,73383,LOCKPLATE, 5/16 bolt x 1.00
